
 --- Table  1: Summary of nuclide data: 

 Data for 139 nuclides included in calculation:

 - 139 Transport nuclides
 - No dosimetry nuclides
 - No decay nuclides
 - 3899 reaction channels
 - 1086 special reactions
 - No transmutation reactions
 - 16 transmutation branch reactions
 - No decay reactions
 - No decay branch reactions
 - All reaction linked to target

 Columns:

  1. Index
  2. Level (first occurence in transmutation paths)
  3. Name (nuclide identifier data)
  4. Library ID
  5. Primary data type: TRA = transport
                        DOS = dosimetry
                        SAB = thermal scattering
                        DEC = only decay data
                        STR = only structural data (mass)
                        PHO = photon interaction data
  6. Z (atomic number)
  7. A (isotope number)
  8. I (isomeric state)
  9. Atomic weight
 10. Temperature (in Kelvin)
 11. Decay constant (1/s)
 12. Flags: I - nuclide is present in initial composition
            B - nuclide is involved in burnup calculation
            A - nuclide is produced as activation product
            D - nuclide is produced as decay product
            F - nuclide is produced as fission product
            B - nuclide is produced in decay or transmutation branching
            T - nuclide has neutron transport cross section data
            S - nuclide has S(a,b) data
            I - nuclide has isomeric branching reactions
            F - nuclide is fissile
            P - nuclide is a delayed neutron precursor
            D - nuclide has delayed neutron data
            U - nuclide has uses ures ptable data
            T - nuclide cross sections are adjusted by TMS
            D - nuclide has dosimetry cross section data
            R - nuclide has radioactive decay data
            N - nuclide has neutron-induced fission yield data
            S - nuclide has spontaneous fission yield data
            P - nuclide has photon transport cross section data
            T - nuclide has supplementary transmutation cross section data

  130   0  92238.06c     06c  TRA   92 238 0  238.05078   873.0          N/A  I-----T--F-DU-------  uranium 238 (U-238)
  131   0  92238.06c     06c  TRA   92 238 0  238.05078   889.7          N/A  I-----T--F-DU-------  uranium 238 (U-238)
  132   0  92238.06c     06c  TRA   92 238 0  238.05078   898.0          N/A  I-----T--F-DU-------  uranium 238 (U-238)
  133   0  92238.06c     06c  TRA   92 238 0  238.05078   906.3          N/A  I-----T--F-DU-------  uranium 238 (U-238)
  134   0  92238.06c     06c  TRA   92 238 0  238.05078   914.6          N/A  I-----T--F-DU-------  uranium 238 (U-238)
  135   0  92238.06c     06c  TRA   92 238 0  238.05078   923.0          N/A  I-----T--F-DU-------  uranium 238 (U-238)
  136   0  92238.06c     06c  TRA   92 238 0  238.05078   931.3          N/A  I-----T--F-DU-------  uranium 238 (U-238)
  137   0  92238.06c     06c  TRA   92 238 0  238.05078   939.6          N/A  I-----T--F-DU-------  uranium 238 (U-238)
  138   0  92238.06c     06c  TRA   92 238 0  238.05078   948.0          N/A  I-----T--F-DU-------  uranium 238 (U-238)
  139   0  92238.06c     06c  TRA   92 238 0  238.05078   956.3          N/A  I-----T--F-DU-------  uranium 238 (U-238)

 --- Table  2: Reaction and decay data: 

 Nuclide    1 / 139 : 1001.06c -- hydrogen (H-1)

 Pointers                     : 410921 137294
 Primary type                 : Transport
 Nuclide ZAI                  : 10010
 Library ID                   : 06c
 Cross section data file      : /hpc-common/data/serpent/xsdata/s2v0_endfb71/100106EB71.ace
 Atomic weight (AW)           : 1.00782
 Atomic weight ratio (AWR)    : 0.99917
 Temperature                  : 600.0 Kelvin
 XS temperature               : 600.0 Kelvin
 Minimum and maximum energy   : 1.00000E-11 2.00000E+01
 Half-life                    : N/A
 Specific ingestion toxicity  : N/A
 Specific inhalation toxicity : N/A

 - Nuclide is not involved in burnup calculation
 - Nuclide has neutron transport data
 - Nuclide has no photon transport data
 - Nuclide has no S(a,b) data
 - Nuclide has no isomeric branching data
 - Nuclide is not fissile
 - Nuclide is not a delayed neutron precursor
 - Nuclide has no delayed neutron data
 - Nuclide has no ures ptable data
 - Nuclide temperature is not adjusted with TMS
 - Nuclide has no dosimetry data
 - Nuclide has no decay data
 - Nuclide has no supplementary transmutation cross section data
 - Nuclide has no NFY data
 - Nuclide has no SFY data

 - 2 reaction channels
 - 2 special reactions
 - No transmutation reactions
 - No transmutation branch reactions
 - No decay reactions
 - No decay branch reactions
 - No transmutation paths

 2 reactions channel:

   1    MT =      2  Q =  0.00000E+00 MeV  Emin = 1.00000E-11 MeV  frac = 1.00000E+00  : elastic scattering
   2    MT =    102  Q =  2.22463E+00 MeV  Emin = 1.00000E-11 MeV  frac = 1.00000E+00  : (n,gamma)

 2 special reactions:

   1    MT =    204  Q =  0.00000E+00 MeV  Emin = 1.00000E-11 MeV  : total deuteron production
   2    MT =    444  Q =  0.00000E+00 MeV  Emin = 1.00000E-11 MeV  : damage-energy production

 Nuclide    2 / 139 : 3006.06c -- lithium 6 (Li-6)

 Pointers                     : 81913 49919207
 Primary type                 : Transport
 Nuclide ZAI                  : 30060
 Library ID                   : 06c
 Cross section data file      : /hpc-common/data/serpent/xsdata/s2v0_endfb71/300606EB71.ace
 Atomic weight (AW)           : 6.01507
 Atomic weight ratio (AWR)    : 5.96340
 Temperature                  : 873.0 Kelvin
 XS temperature               : 873.0 Kelvin
 Minimum and maximum energy   : 1.00000E-11 2.00000E+01
 Half-life                    : N/A
 Specific ingestion toxicity  : N/A
 Specific inhalation toxicity : N/A

 - Nuclide is not involved in burnup calculation
 - Nuclide has neutron transport data
 - Nuclide has no photon transport data
 - Nuclide has no S(a,b) data
 - Nuclide has no isomeric branching data
 - Nuclide is not fissile
 - Nuclide is not a delayed neutron precursor
 - Nuclide has no delayed neutron data
 - Nuclide has no ures ptable data
 - Nuclide temperature is not adjusted with TMS
 - Nuclide has no dosimetry data
 - Nuclide has no decay data
 - Nuclide has no supplementary transmutation cross section data
 - Nuclide has no NFY data
 - Nuclide has no SFY data

 - 36 reaction channels
 - 6 special reactions
 - No transmutation reactions
 - No transmutation branch reactions
 - No decay reactions
 - No decay branch reactions
 - No transmutation paths

 36 reactions channel:

   1    MT =      2  Q =  0.00000E+00 MeV  Emin = 1.00000E-11 MeV  frac = 1.00000E+00  : elastic scattering
   2    MT =     24  Q = -3.69800E+00 MeV  Emin = 4.31812E+00 MeV  frac = 1.00000E+00  : (n,2nalpha)
   3    MT =     51  Q = -1.50000E+00 MeV  Emin = 1.75154E+00 MeV  frac = 1.00000E+00  : inelastic scatt. to 1. excited state
   4    MT =     52  Q = -2.00000E+00 MeV  Emin = 2.33540E+00 MeV  frac = 1.00000E+00  : inelastic scatt. to 2. excited state
   5    MT =     53  Q = -2.18500E+00 MeV  Emin = 2.55140E+00 MeV  frac = 1.00000E+00  : inelastic scatt. to 3. excited state
   6    MT =     54  Q = -2.50000E+00 MeV  Emin = 2.91922E+00 MeV  frac = 1.00000E+00  : inelastic scatt. to 4. excited state
